"id","title","description","image"
"912","Tân Tuyến Cajuput Forest Ecotourism","An Giang is a land that leaves a strong impression on many tourists, not only because it is a place where many unique cultures of the Kinh, Chinese, Cham, and Khmer communities blend and converge, but also because it possesses the simple, characteristic beauty of the Mekong Delta's riverine landscape and diverse natural scenery, from vast green rice fields, the dreamy Cô Tô Mountain, the tall sugar palm trees of Tịnh Biên reaching for the sky, to the mysterious Thất Sơn range and many other attractive historical and cultural sites.|||But perhaps the most memorable destination when traveling to An Giang is the vast, lush cajuput forests. In addition to the poetic and picturesque Tra Su Forest, which has become a top check-in spot in the Mekong Delta, Tan Tuyen Forest is also attracting a large number of tourists lately. Let's explore this attractive An Giang travel destination with LuhanhVietNam!|||Located in Tri Ton and Tinh Bien districts, Tan Tuyen Melaleuca Forest is a popular An Giang tourist destination, covering 1752 ha of the district's total 1928.4 ha area.|||An Giang province, including Tan Tuyen forest, has great potential for developing eco-tourism, thanks to its incredibly rich flora and fauna. Some notable eco-tourism spots in An Giang include Keo Heaven God forest, Ba Pond on Cam Mountain, Keo O Tuk Xa forest in Chi Lang, Soai So Lake mango forest in Tri Ton district, and the ancient Heaven God forest on Co To mountain in Tri Ton, and now Tan Tuyen forest.|||This place boasts not only a vast expanse of lush green cajuput forest but also a dominant algae industry with numerous species, including green algae, siliceous algae, blue-green algae, golden algae, eye algae, yellow algae, and armored algae. Many of these species serve as nutritious food for fish and shrimp in the forest.|||This is a significant advantage of the forest as it allows for the development of a complete tourism service to recreate military life. This helps tourists have attractive and engaging military life experiences. If you're a fan of the popular 2020 reality show 'Sao nhập ngũ' then you shouldn't miss this forest.|||Tan Tuyen Cajuput Forest features a military camp system, watchtowers, and the Hoang Cam kitchen. Photo: Lang Thang An Giang|||While Tra Su Forest has a long wooden bridge and a beautiful bird nest dock reminiscent of Europe, Tan Tuyen Forest in An Giang has its own 5,000m-long wooden plank bridge connecting the main area to smaller trails, winding through the forest to bring visitors closer to nature.|||Take a motorboat ride through the cajuput forest to admire the flora and fauna, or stroll along the shaded walkways to discover the pristine beauty of the surroundings, and don't forget to capture the moment with dreamy photos at this new and exciting destination in An Giang.|||In addition to its natural beauty, Tan Tuyen Cajuput Forest in An Giang Province offers various eco-tourism activities that promise to bring new experiences of flooding season tourism in the Western region, such as net casting, fishing, and crab catching, and savoring delicious countryside cuisine with many specialties from Chau Doc, Tinh Bien, Tri Ton, and more.|||More good news for tourists who love the Western region: a rest stop for food and drinks is being completed to serve visitors, expected to be finished before the 2021 Lunar New Year.|||Explore Tan Tuyen Forest An Giang - a preserved mangrove forest|||The area is being planned for eco-tourism development|||Covering an area of 1,672 hectares, Tan Tuyen Melaleuca Forest in An Giang is being listed as a protected wetland nature reserve. Part of this, 250 hectares in Zone A, is planned for tourism development. The forest's protected area will include three functional sub-zones, all in sub-zone 30B. Notably, the most strictly protected sub-zone spans 81.85 hectares, comprising lots 6, 10, 11, 12, 13, 14, 15, adjacent to An Giang Provincial Army Forest Station.|||The ecological restoration subzone covers approximately 94.06ha, comprising zones 7, 8, 9, and 16 (in subzone 30B). Finally, the administrative and service subzone spans a total of 80.48ha, including zones 1, 2, 3, 4, and 5.|||The buffer zone of Tan Tuyen Cajuput Forest Landscape Protection Area in An Giang Province covers approximately 380.9 hectares, located in Tan Duc, Tan An, and Tan Loi hamlets, Tan Tuyen commune, Tinh Bien district. With its planning and special investment regime, this pristine cajuput forest promises to be a new destination in An Giang, so let's plan to explore it with friends in early 2021.","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/ANGIANG/RungtramTanTuyen/Tan-Tuyen-4.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/ANGIANG/RungtramTanTuyen/Tan-Tuyen-3.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/ANGIANG/RungtramTanTuyen/Tan-Tuyen-2.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/ANGIANG/RungtramTanTuyen/Tan-Tuyen-1.jpg"
"913","My Khanh Strawberry Garden in An Giang","This strawberry garden is worth a visit. From Long Xuyen, cross Ton Duc Thang Bridge (parallel to Quay Bridge), then follow the sign to turn left into My Khanh. After about 30 minutes, you'll arrive.|||It's best to go early in the morning when the strawberries are still ripe and haven't been harvested yet. Note that purple strawberries are ripe, while red ones are not. The garden owner is friendly and welcoming, allowing you to pick strawberries freely, but please don't overdo it. You can buy strawberries at 30-40 thousand per kilogram. They also have strawberry smoothies for 15,000 dong. Additionally, you can enjoy steamed snails with lemongrass and a dipping sauce made with a type of citrus fruit. All in all, it's a delicious, nutritious, and affordable experience. A great spot for an eco-friendly outing!","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/ANGIANG/VuonDauMyKhanh/Vuon-Dau-Tam-My-Khanh-2.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/ANGIANG/Vuon-Dau-Tam-My-Khanh-1.jpg"
"914","Yen Tu Historical and Scenic Site","The Yen Tu Historical and Scenic Site stretches nearly 20 km across Phuong Dong ward and Thượng Yên Công commune, Uong Bi city, Quang Ninh province, classified as a national historical site in 1974 and recognized as a Special National Site in 2012.|||Yen Tu Mountain stands at 1,068m above sea level, the highest peak of the Yen Tu mountain range in the Dong Trieu Arc. For centuries, Yen Tu has been revered as a sacred land of 'địa linh' (holy land) and 'phúc địa' (blessed land). The area boasts breathtaking scenery and preserves the long-standing historical and cultural values of Vietnam.|||Yen Tu Mountain has had many names throughout history, including Phu Van Son (Floating Cloud Mountain), Tuong Son (Elephant Mountain), Yen Son (Yen Mountain), Bach Van Son (White Cloud Mountain), and Linh Son (Sacred Mountain). The name 'Yen Tu Mountain' originates from a legend about a northern hermit named An Ky Sinh, who came to the mountain to practice his spiritual craft, built a hermitage, and gathered rare medicinal herbs to create an elixir of immortality. The locals admired and revered him, calling him Thay An (meaning 'Peaceful Master'), and the mountain was named after him as Thay An Mountain. During the Le Trung Hưng period, to avoid using the same title as An Do Vuong Trinh Cuong, the name 'An' was mispronounced as 'Yen', and An Tu was changed to Yen Tu.|||Yen Tu is the birthplace of Truc Lam Yen Tu Zen, a place associated with the name and extraordinary career of the King who became a Buddha - the heroic Emperor Tran Nhan Tong. After leading the people of Dai Viet to victory against the Yuan Mongol invaders in 1285 and 1288, he renounced the throne, became a monk, and came to Yen Tu to practice (in August 1299) with the Dharma name Hương Vân Đại Đầu Đà, and the title Trúc Lâm Đại Sỹ, founding the Truc Lam Yen Tu Zen school, which has a profound influence on the development of Vietnamese Buddhism.|||Yen Tu Historical and Cultural Vestige is a complex of Buddhist architectural structures, comprising 10 pagodas: Bi Thượng (Trình) Pagoda, Suối Tắm Pagoda, Cầm Thực Pagoda, Lân Pagoda - Trúc Lâm Yen Tu Zen Institute, Giải Oan Pagoda, Hoa Yên Pagoda, Một Mái Pagoda, Bảo Sái Pagoda, Vân Tiêu Pagoda, Đồng Pagoda; many hermitage ruins like Lò Rèn Hermitage, Thiền Định Hermitage, Diêm Hermitage, Hoa Hermitage, Dược Hermitage…; and numerous tomb towers worshiping Zen masters from the Tran - Le era, concentrated in tower gardens: Huệ Quang, Hòn Ngọc, Lân Pagoda, Vọng Tiên Cung or located in front of pagodas: Bí Thượng, Giải Oan, Một Mái, Bảo Sái… along with thousands of ancient artifacts within the 2,783ha Yen Tu National Forest, featuring a rich and diverse system of flora and fauna, with many species listed in Vietnam's Red Book. Yen Tu can be likened to a living museum of historical, cultural, and spiritual values, as well as a museum of biological diversity.|||- The Yên Tử (Yen Tu) relic and landscape complex has been completed with a dossier submitted to UNESCO for recognition as a world heritage site, in cooperation between Quảng Ninh (Quang Ninh) province and the neighboring provinces of Hải Dương (Hai Duong) and Bắc Giang (Bac Giang).|||This name refers to two large mountain ranges in the shape of a crescent, including Năm Mẫu (Yên Tử) and Bình Liêu, along with the slate hill area between them. The East Wing is located in the eastern part of Northeast Vietnam, spanning across Quảng Ninh, Lạng Sơn, Bắc Giang, Hải Dương, and Hải Phòng provinces.|||According to the Complete Annals of Dai Viet","https://csdl.vietnamtourism.gov.vn/uploads/images/22_50/Chua-Dong.jpg"
"915","Ba Vang Pagoda","Located on Thanh Dang Mountain in the Dong Trieu range, Ba Vang Pagoda is situated in Quang Trung ward, Uong Bi city, Quang Ninh province. Its Chinese name, Bao Quang Tu, translates to a temple of precious light. The pagoda is also known as Ba Vang, referring to the three precious gems of Buddhism: Buddha, Dharma, and Sangha.|||According to the Chinese inscriptions on a stone incense burner, the pagoda was originally built in 1705, during the reign of King Le Du Tong. After centuries, the old pagoda was destroyed, leaving behind only a few artifacts like stone steles, stone turtles, and broken tiles. In 1988, a new pagoda was constructed from wood, and in 1993, it was rebuilt using stone, brick, and cement on a smaller scale, covering an area of approximately 1,400 square meters.|||In 2007, the pagoda was recognized as a provincial historical and cultural relic. In 2009, the Quang Ninh provincial government approved a plan to preserve and restore the pagoda. With the support of local authorities, Buddhists, and visitors, the pagoda's first phase of construction began in 2011. By 2014, the first phase of the restoration project was completed, covering an area of 22,000 square meters, with several large-scale constructions, including the 4,500 square meter Great Bell Temple, Bell Tower, Drum Tower, and other facilities. In 2014, the pagoda held a grand opening ceremony and received a record for having the largest main hall in Indochina.|||To meet the cultural and spiritual needs of Buddhists and visitors, the pagoda continued its second phase of construction, including the Great Lecture Hall, the Great Trai Hall, a kitchen, a 9,000 square meter Buddhist area, the Golden Bridge, and a statue of Buddha. With these impressive Buddhist cultural and spiritual constructions, Ba Vang Pagoda has received a world record for the largest Buddhist lecture hall on a mountain, certified by the Worldings and WRA.",""
"916","Dinh Den Cong - Long Khanh Pagoda - Co Linh Shrine","Dinh Den Cong, whose Chinese name is 'Den Cong Dinh', originated from the village of Den Cong, which later became Dien Cong, now known as Den Cong 2 ward, Uong Bi city, Quang Ninh province. About 1km southwest of Dinh Den Cong lies Co Linh Shrine (also known as Cay Gieng Shrine). Dinh Den Cong is a special national relic within the Bach Dang Dinh historical complex in Trưng Vương ward, Uong Bi city, Quang Ninh province.|||The communal house is dedicated to the village's tutelary deity, comprising deities such as Tran Hung Dao, the highest-ranking deity, and five generals who helped him achieve the great victory at Bach Dang: Cao Son, Quy Minh, Nam Hai Ton Than, Phi Bong Tuong Quan, and Bach Thach Tuong Quan. These deities revealed in a dream to Hung Dao Vuong the location of the ancient Cay Gieng tree near Dinh Dien Cong, where he could set up a signal fire to launch a unified attack against the invading Mongol fleet, leading to the historic Battle of Bach Dang in 1288. After the battle, Tran Hung Dao held a ceremony to thank the deities and renamed the village Den Cong, which translates to 'Temple of Gratitude'. Later, the people revered him as the village's tutelary deity, and a temple was built in his honor. The name 'Dinh Den Cong' reflects the people's gratitude towards the national heroes who fought against foreign invaders.|||Dinh Dien Cong has a close relationship with Co Linh Shrine, located about 1km away, in a Dinh-Mieu (Temple-Shrine) complex. According to legend and folklore, Co Linh Shrine was built in the early 14th century but was damaged by a flood in 1954, leaving only its foundation. The villagers then brought the shrine's artifacts to Dinh Den Cong for worship. In 2014, the shrine was rebuilt, and its grounds were expanded and renovated by 2017.|||Every year, on the 13th, 14th, and 15th days of the first lunar month, the communal house holds a spring festival to honor the deities and pray for a prosperous new year with abundant harvests and good fortune.|||Long Khanh Pagoda is located adjacent to Dinh Den Cong, on its left side, and is a long-standing place of Buddhist worship and cultural activities for the local community.|||Along with other relics like the Bach Dang stakes, the Vua Ba Shrine, and several communal houses, Dinh Den Cong - Long Khanh Pagoda - Co Linh Shrine is a key part of the Bach Dang Victory Historical Complex.||||||[1] According to Dinh Den Cong's deity records, Cao Son and Quy Minh are considered a single entity, referred to as the Four Great Generals.",""
"917","Pho Am Pagoda","Located at the foot of Duat Van mountain in Bac Son ward, 4km from Uong Bi city center, Pho Am Pagoda is also known as Am Pagoda (or Am Van Tu in Chinese characters). The name Pho Am can be interpreted as 'broad understanding', with 'Pho' meaning 'wide' and 'Am' meaning 'understanding'.|||According to the inscription on the stone incense burner, one of the ancient artifacts still preserved today, Am Pagoda was built in 1705 during the reign of King Le Du Tong, under the Vinh Thinh era. Pho Am Pagoda was constructed on a high, airy, and bright plot of land, with its facade facing southeast. A small stream runs in front of the pagoda, with the gentle Uong River in the distance. This stunning location creates a serene and peaceful atmosphere.|||Over its 300-year history, Pho Am Pagoda has undergone several restorations. The first renovation took place in 1802 during the reign of King Gia Long. In 1979, the pagoda underwent major repairs. In 1994, the worship hall was rebuilt, and in 2002, the entire Main Hall, ancestral house, and other structures were restored.|||Today, Pho Am Pagoda showcases the architectural style of the Nguyen dynasty. The main hall, designed in the shape of the Chinese character 'Cong', covers an area of 350m² and features 3 front chambers, 2 side chambers, and 3 rear chambers. The pagoda serves as both a place of Buddhist worship and a hub for cultural and spiritual activities for the local community.",""
"918","Lung Xanh Waterfall","Located just over 2km from Uong Bi city, in Quang Trung ward, Lung Xanh is nestled in a sacred area connected to Yen Tu Mountain, Trung Yen Lake, and shares the same water source as Ba Vang Pagoda.|||Lung Xanh boasts a rich natural vegetation, with many gentle streams and waterfalls meandering through the forest canopy, creating a breathtaking natural landscape with three consecutive waterfalls cascading down, cool and beautiful like a natural painting gifted to Uong Bi city. This is why it's called Lung Xanh, meaning “green-blue water”, surrounded by lush trees, consecutive waterfalls, and scattered rocks of various shapes and sizes along the winding stream that flows through the green forest. Each waterfall has clear and calm pools, reflecting the sky and forest, creating a fresh atmosphere and beautiful scenery.|||In addition to its natural beauty, the Lung Xanh area is closely linked to the Yen Tu historical site and connected to Yen Trung Lake, making it a special ecological area in Uong Bi that attracts tourists from near and far.",""
"919","Museum - Library of Quang Ninh Province - October 30th Square","The Quang Ninh Museum and Library is a key project celebrating the 50th anniversary of the province's establishment (October 30th, 1963 - October 30th, 2013).|||With its unique architecture, beautiful space, and numerous valuable exhibits, the Quang Ninh Museum and Library has become a new tourist attraction, drawing large crowds of locals and visitors. The complex has a total investment of over 900 billion VND, comprising three interconnected buildings via elevated walkways, including the museum, library, and conference areas. The library building, adjacent to the museum, is designed in a modern style, with the ground floor storing over 100,000 books, newspapers, and magazines across various fields. However, the museum still has many empty spaces that have not been utilized for exhibits, such as the first-floor area featuring natural wonders, the third floor showcasing coal and a special exhibit on President Ho Chi Minh's connection to Quang Ninh, as well as the ethnic groups of Quang Ninh; the conference block only has an exhibit on artifacts on its second floor.","https://csdl.vietnamtourism.gov.vn/uploads/images/22_50/Background-1.jpg"
"920","Ha Long Market 1","Located in the heart of Ha Long city, this market is the main commercial hub of Quang Ninh province. Stalls selling coal souvenirs, seafood products, wooden items, and fresh seafood, including squid cakes, attract many tourists. The market offers a wide range of goods, from everyday items to high-end products, with a significant portion being Chinese-made. The seafood here is fresh and affordable. Notably, Ha Long Market is famous for its squid cakes, which are grilled to perfection, emitting a tempting aroma that makes it hard for visitors to resist trying some and remembering the taste forever.",""
"921","Vincom Ha Long Center","Designed in luxurious European royal style, this complex features a high-end shopping center, educational and health consulting services for children, a dining area, ice skating rink, cinema, and game zone. As the largest commercial center in Quang Ninh Province and one of the biggest in the northern region, Vincom Ha Long Center will be a landmark in the heart of Ha Long City, offering a comprehensive range of services and a must-visit tourist destination for travelers to Quang Ninh",""
"922","Marine Plaza Shopping Center","The Ha Long Marine Plaza complex, invested and developed by Syrena Vietnam, features a range of unique services including entertainment zones, traditional craft villages, water parks, shopping centers, food courts, seafood night markets, and international standard cinemas. Ha Long Marine Plaza is a must-visit destination for tourists traveling to Ha Long Bay. Strategically located between Tuan Chau and Bai Chay, the complex welcomes a large number of tourists, around 2000-2500 international and domestic visitors daily. With synchronized planning, smooth transportation, and new developments since 2013, including the annual Carnaval festival and a new financial center, Ha Long Marine has become an ideal choice for tourism and hotel investors.|||","https://csdl.vietnamtourism.gov.vn/uploads/images/22_50/trung-tam-thuong-mai-ha-long-marina-canh-alacarte-ha-long.jpg"
"923","My Ngoc Pearl Center - Ha Long Pearl Joint Stock Company","This center showcases and sells pearl jewelry and souvenir products made from oyster shells, all of which are cultivated directly in Ha Long Bay using Japanese technology. The products are diverse and fashionable, attracting many tourists. Currently, My Ngoc Center has drawn in numerous tour groups, with the main clientele being European tourists, averaging around 1000 visitors per day. The center also offers a beautiful view of Ha Long Bay, a green tree system, and recreational activities for tourists, including fishing, lake viewing, and countryside photography.","https://csdl.vietnamtourism.gov.vn/uploads/images/22_50/3420315397546544795801492107975821441116142n.jpg"
"924","Cai Lan Temple","Today, Cai Lan Temple (Temple of Cai Lan) no longer holds any historical evidence that can clearly tell its story. Legend has it that the temple dates back to the Tran Dynasty. Strategically located where six rivers meet the sea, Hung Dao Vuong had a temple built here to oversee the waters, and he brought incense from Mau Thac Han Son Temple in Ha Trung district, all the way from Thanh Hoa, to bless the temple. Many believe that the sacred power of the Mother Goddess helped the Tran army win against the Mongols in many naval battles in the Northeast. The temple once housed many statues, including a large, lifelike statue of the Mother Goddess in white attire, known as Bach Ngoc Thuy Tinh, whose piercing eyes seemed to follow you wherever you stood. In front of the temple stood two statues with sharp, intimidating eyes that nobody dared approach in the late afternoon. There were also statues of five high-ranking officials, a girl, and a boy outside. Over time, the temple has been rebuilt multiple times, and when Cai Lan Port was constructed, the temple was relocated to a higher area, resulting in the loss of many ancient artifacts. In 1986, a large number of ancient coins and artifacts were discovered in the old temple area, indicating that many pilgrims had visited and made offerings in the past. However, all signs have since been altered, and the grounds have been leveled, making it impossible to pinpoint the exact location of these ancient relics. In 2009, a new pagoda was built beside the temple within the Cai Lan Port area.|||","https://csdl.vietnamtourism.gov.vn/uploads/images/22_50/Den-Cai-Lan.jpg"
"925","Loi Am Pagoda and Yen Lap Lake Relic Complex","Loi Am Pagoda is an ancient pagoda built in the 15th century (during the Le Thanh Tong era), set amidst a picturesque landscape with a harmonious blend of mountains and water, topped by Loi Am Mountain, featuring a natural 'heavenly chessboard' at its peak, standing 503m high, offering a panoramic view of the Northeast region, rivaling that of Tan Vien and Tam Dao.|||Yen Lap Lake was constructed in 1976, combining beautifully with the surrounding landscape to create a scenic spot. The Loi Am Pagoda - Yen Lap Lake historical relic complex has formed a romantic landscape, famous since ancient times, and now even more renowned for attracting tourists interested in cultural, spiritual, and ecological tourism.","https://csdl.vietnamtourism.gov.vn/uploads/images/22_50/Chua-Loi-Am.jpg"
"926","Tung Sau Pearl Farm","Tung Sau boasts stunning scenery and calm seas. It's home to a pearl farming and processing area operated by Ha Long Pearl Joint Stock Company, a product being developed as part of Quang Ninh's tourism product development plan. The company's processing, display, and sales area has been recognized as a standard restaurant.","https://csdl.vietnamtourism.gov.vn/uploads/images/22_50/Vung-tung-sau.jpg"
"927","Quang La Flower Paradise","The eco-tourism site 'Quang La Flower Paradise' is part of the 'Fruit Tree Garden and Eco-Tourism' project in Quang La commune, approved by the Hoanh Bo District People's Committee in Decision No. 926/QD-UBND on June 1, 2015. The project is implemented in two phases. Currently, phase 1 of the project has been completed, including: planting fruit trees in combination with medicinal plants; a multicolored flower field; building a workshop for preliminary processing of medicinal herbs, a net house for plant breeding; forming a medicinal herb maze, a coconut tree house and a bar, a cafe on the tree serving visitors. Tourists can experience gardening, harvesting medicinal herbs, processing medicinal herbs; fishing; soaking feet in herbal medicine... eating traditional dishes; playing traditional folk games (stick pushing, con throwing, archery, tug of war, sack jumping...)|||'Quang La Flower Paradise' was built on the idea of 'A harmony between nature and life'. Where agricultural production activities, value-added agricultural product processing activities will become a tourism product, a place where visitors can experience and immerse themselves in nature.|||In addition, the 'Quang La Flower Paradise' tourist site is also adjacent to Bang Ca commune, which has the Dao Thanh Y Bang Ca cultural heritage preservation area. The Dao Thanh Y people there still preserve the valuable traditional cultural capital such as: village festivals, Sắc Ceremony; embroidery and traditional costume making; folk medicine; folk songs and dances...); there is a folk club operating regularly, effectively with many folk artists who are knowledgeable about traditional culture.",""
"928","Thanh Y Dao Ethnic Cultural Conservation Village","The Thanh Y Dao Ethnic Cultural Conservation Village is a unique cultural preservation project in Quang Ninh Province, invested by the Department of Culture, Sports, and Tourism.|||The village has a population of 138 households, all of whom are Dao Thanh Y ethnic people. The villagers have preserved their traditional cultural heritage, including festivals, rituals, and intangible cultural values such as embroidery, traditional medicine, culinary arts, and folk music and dance. The village also has a folk club with many skilled artisans, including four who have been recognized as Vietnamese Folk Artisans.|||The village is home to many traditional Dao Thanh Y dishes, such as five-color sticky rice, khe snails, khe fish, ginger-cooked chicken, and Bau wine. Many farms in the area grow organic fruit trees and raise wild animals like porcupines, wild boars, and local chickens. The village is also located in the center of the traditional Bau wine production area, a unique drink of the Dao Thanh Y people.|||During the two resistance wars against the French and American colonizers, Bang Ca Commune was an important resistance base, and in 2008, it was recognized as a provincial historical relic.|||The Thanh Y Dao Ethnic Cultural Conservation Village project has been invested with over 15 billion VND, featuring a community house, two model houses of the Dao Thanh Y people, a festival ground, and a 7-room exhibition house showcasing traditional culture, adjacent to the historical site of the resistance base against the French.",""
"929","Man Mountain Scenic Complex","Man Mountain, historically known as 'Bân Sơn' meaning harmony and perfection, is a stunning natural wonder. The name 'Bân' signifies a beautiful and complete mountain, both inside and out, with the Mân River flowing through it, earning it the local name 'Mân' or 'Mằn' due to a pronunciation variation.|||The Man Mountain scenic complex is steeped in thousands of years of history and legend, reflecting the deep cultural and spiritual life of the local people through stories like the giant who shouldered rocks to mend the sky, the sacred Bạch Thạch temple, the origins of the quýt lú garden, the story of the mountain with a mouth, and the tales of Ông Cộc, Ông Loang, and Ông Dài. Notably, Man Mountain was a crucial military location in the feudal era, serving as a signal reception and transmission point from Bài Thơ Mountain and Xích Thổ (Nhà Mạc) Citadel for offensive and defensive strategies, especially during the Trịnh-Mạc conflict in the northeastern region.|||Man Mountain is situated between two streams, the Đá Trắng (Bạch Thạch Khe) and the Lưỡng Kỳ (Khe Bân), which flow into the Đá Trắng River, creating a breathtaking landscape with lush vegetation and a unique harmony of mountain and water. This is also the most beautiful limestone mountain, uniquely preserved in the Cửa Lục Gulf area, part of the Ha Long Bay World Heritage site.|||Man Mountain exemplifies the limestone mountain system of Hoành Bồ District, standing over 400m above sea level with steep cliffs, treacherous gorges, and a varied landscape of square, round, smooth, and pointed formations, resembling a kneeling elephant with its trunk bowed towards the Khe Bân stream.|||At the foot of Man Mountain, the Bạch Thạch Temple was built by locals to worship various deities, including Cao Sơn Thượng Đẳng thần, Quý Minh Thượng Đẳng thần, Đại Càn Quốc gia Nam hải, and Đệ nhị Long Vương thượng đẳng thần. In addition to the deities worshiped at Bạch Thạch Temple, Hoành Bồ District is home to a system of temples and shrines related to Man Mountain and Bạch Thạch Temple, scattered across Thống Nhất Commune, Đồng Lâm Commune, and Trới Town, including the shrines of Ông Cộc, Ông Loang, Ông Dài, Thánh Mẫu Shrine, and Xích Thổ Temple. These shrines are closely linked to Bạch Thạch Temple and Man Mountain through captivating legends and divine stories, leaving behind three shrines that worship the three sons of the Man Mountain deity (Ông Cộc, Ông Loang, Ông Dài).|||The shrines of Ông Cộc (Trới Town, Zone 9), Ông Loang (Cài Village, Đồng Lâm Commune), and Ông Dài are located at the confluence of the Bạch Thạch and Bân streams before they flow into the Cửa Lục River.|||Beyond its natural beauty, Man Mountain holds significant cultural and spiritual value. It is connected to the legend of 'The Giant Who Shouldered Rocks to Mend the Sky'.",""
